# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415142632;0.13;93.22
axle;60;1415142692;0.00;235.38
axle;60;1415142752;0.02;171.98
axle;60;1415142812;0.00;441.45
axle;60;1415142872;0.00;35.98
axle;60;1415142932;0.00;0.00
axle;60;1415142992;0.00;76.97
axle;60;1415143052;0.00;13.15
axle;60;1415143112;0.00;3.83
axle;60;1415143172;0.00;0.00
axle;60;1415143232;0.00;4.98
axle;60;1415143292;0.13;0.00
axle;60;1415143352;0.00;0.00
axle;60;1415143412;0.00;0.00
axle;60;1415143472;0.00;0.00
axle;60;1415143532;0.00;0.00
axle;60;1415143592;0.13;0.00
axle;60;1415143652;0.00;0.00
